cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
25,Sinaloa,0,Estatal,1001000001,Superficie continental,2020,57365.36364495,Kilómetros cuadrados
25,Sinaloa,0,Estatal,1002000001,Población total,1910,323642,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,1921,341265,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,1930,395618,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,1940,492821,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,1950,635681,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,1960,838404,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,1970,1266528,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,1980,1849879,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,1990,2204054,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,1995,2425675,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,2000,2536844,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,2005,2608442,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,2010,2767761,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,2015,2977104,Personas
25,Sinaloa,0,Estatal,1002000001,Población total,2020,3026943,Personas
25,Sinaloa,0,Estatal,1002000002,Población total hombres,1995,1216415,Personas
25,Sinaloa,0,Estatal,1002000002,Población total hombres,2000,1264143,Personas
25,Sinaloa,0,Estatal,1002000002,Población total hombres,2005,1294617,Personas
25,Sinaloa,0,Estatal,1002000002,Población total hombres,2010,1376201,Personas
25,Sinaloa,0,Estatal,1002000002,Población total hombres,2020,1494815,Personas
25,Sinaloa,0,Estatal,1002000003,Población total mujeres,1995,1209260,Personas
25,Sinaloa,0,Estatal,1002000003,Población total mujeres,2000,1272701,Personas
25,Sinaloa,0,Estatal,1002000003,Población total mujeres,2005,1313825,Personas
25,Sinaloa,0,Estatal,1002000003,Población total mujeres,2010,1391560,Personas
25,Sinaloa,0,Estatal,1002000003,Población total mujeres,2020,1532128,Personas
25,Sinaloa,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,1995,30.3,No especificada
25,Sinaloa,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2000,28.6,No especificada
25,Sinaloa,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2005,26.6,No especificada
25,Sinaloa,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2010,26.3,No especificada
25,Sinaloa,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2015,25.5726875142643,No especificada
25,Sinaloa,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2020,24.825025010596,No especificada
25,Sinaloa,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,1995,30.1,No especificada
25,Sinaloa,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2000,28.4,No especificada
25,Sinaloa,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2005,26.6,No especificada
25,Sinaloa,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2010,26.5,No especificada
25,Sinaloa,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2015,12.7919399147968,No especificada
25,Sinaloa,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2020,25.0379759885975,No especificada
25,Sinaloa,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,1995,30.4,No especificada
25,Sinaloa,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2000,28.7,No especificada
